pb_acc	gene
ENSMUST00000027529.12	Rab17
ENSMUST00000027532.13	Scly
ENSMUST00000027533.9	Klhl30
ENSMUST00000027534.13	Ilkap
ENSMUST00000027538.9	Asb1
ENSMUST00000027542.13	Cdh7
ENSMUST00000027559.9	Tnfrsf11a
ENSMUST00000027564.8	Serpinb13
ENSMUST00000027565.5	Serpinb3c
ENSMUST00000027566.3	Serpinb11
ENSMUST00000027567.14	Serpinb3a
ENSMUST00000027569.14	Slco6c1
ENSMUST00000027571.13	Gin1
ENSMUST00000027575.13	Slco6d1
ENSMUST00000027579.17	Actr3
ENSMUST00000027580.11	Slc35f5
ENSMUST00000027581.7	Gpr39
ENSMUST00000027582.10	Lypd1
ENSMUST00000027585.14	Tmem163
ENSMUST00000027587.15	Ccnt2
ENSMUST00000027592.6	Ubxn4
ENSMUST00000027601.11	Mcm6
ENSMUST00000027602.15	Dars1
ENSMUST00000027603.4	Rgs18
ENSMUST00000027606.4	Rgs2
ENSMUST00000027612.11	Cfhr4
ENSMUST00000027615.7	F13b
ENSMUST00000027623.9	Tsn
ENSMUST00000027626.13	Nifk
ENSMUST00000027629.10	Tfcp2l1
ENSMUST00000027632.14	Epb41l5
ENSMUST00000027634.13	Dbi
ENSMUST00000027637.13	3110009E18Rik
ENSMUST00000027639.8	Marco
ENSMUST00000027642.5	Nek7
ENSMUST00000027643.6	Atp6v1g3
ENSMUST00000027649.14	Nr5a2
ENSMUST00000027650.13	Cd55
ENSMUST00000027655.8	Ddx59
ENSMUST00000027657.14	C4bp
ENSMUST00000027667.13	Pkp1
ENSMUST00000027670.4	Fcamr
ENSMUST00000027671.12	Tnnt2
ENSMUST00000027673.11	Il20
ENSMUST00000027675.14	Pigr
ENSMUST00000027677.8	Csrp1
ENSMUST00000027682.9	Gpr37l1
ENSMUST00000027684.11	Arl8a
ENSMUST00000027687.8	Ube2t
ENSMUST00000027688.15	Rassf5
ENSMUST00000027690.7	Avpr1b
ENSMUST00000027693.8	Rab29
ENSMUST00000027695.8	Slc45a3
ENSMUST00000027696.10	Elk4
ENSMUST00000027697.12	Cdk18
ENSMUST00000027700.15	Rbbp5
ENSMUST00000027706.4	Lrrn2
ENSMUST00000027725.11	Klhl12
ENSMUST00000027726.14	Cyb5r1
ENSMUST00000027727.15	Adipor1
ENSMUST00000027730.6	Myog
ENSMUST00000027738.14	Tor1aip1
ENSMUST00000027740.14	Lhx4
ENSMUST00000027741.12	Xpr1
ENSMUST00000027743.13	Stx6
ENSMUST00000027744.10	Mr1
ENSMUST00000027748.8	Rgs16
ENSMUST00000027752.15	Lamc1
ENSMUST00000027753.13	Lamc2
ENSMUST00000027754.7	Ncf2
ENSMUST00000027760.14	Rgl1
ENSMUST00000027766.13	Coq8a
ENSMUST00000027768.14	Ahctf1
ENSMUST00000027769.6	Tfb2m
ENSMUST00000027775.9	Efcab2
ENSMUST00000027777.12	Parp1
ENSMUST00000027778.8	Mixl1
ENSMUST00000027780.6	Acbd3
ENSMUST00000027781.7	Cox20
ENSMUST00000027783.14	Desi2
ENSMUST00000027785.15	Sdccag8
ENSMUST00000027792.6	Srp9
ENSMUST00000027795.14	Cnih3
ENSMUST00000027797.9	Nvl
ENSMUST00000027800.15	Tmem63a
ENSMUST00000027802.9	Pycr2
ENSMUST00000027809.8	Opn3
ENSMUST00000027810.14	Fh1
ENSMUST00000027812.11	Rgs7
ENSMUST00000027816.5	Mptx1
ENSMUST00000027817.8	Spta1
ENSMUST00000027824.7	Apcs
ENSMUST00000027826.7	Dusp23
ENSMUST00000027830.5	Slamf9
ENSMUST00000027833.12	Copa
ENSMUST00000027837.13	Vangl2
ENSMUST00000027839.14	Uck2
ENSMUST00000027843.11	Fmo9
ENSMUST00000027846.8	Tada1
ENSMUST00000027847.7	Gpa33
ENSMUST00000027849.11	Cd247
ENSMUST00000027850.15	Pou2f1
ENSMUST00000027852.15	Adcy10
ENSMUST00000027853.6	Mpc2
ENSMUST00000027856.13	Dcaf6
ENSMUST00000027859.12	Tbx19
ENSMUST00000027860.8	Xcl1
ENSMUST00000027861.6	Dpt
ENSMUST00000027863.13	Atp1b1
